0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:51:54 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:51:54 +0900] "GET /theater/image/feedbapLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:51:54 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:53:28 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:53:29 +0900] "GET /theater/image/feedbapLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:53:29 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:54:46 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:54:47 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:54:53 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:54:53 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:54:54 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:56:38 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:56:38 +0900] "GET /theater/image/feedbapLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:56:38 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:57:13 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:57:14 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:59:00 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:59:03 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:59:04 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:59:04 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:59:09 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:59:10 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:59:10 +0900] "GET /theater/image/feedbapLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:59:10 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2873
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:59:11 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:00:34 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:00:34 +0900] "GET /theater/image/feedbapLogo.png HTTP/1.1" 304 -
